,half,rep
107,"['sub-CC00357XX11', 'ses-113900']","['sub-CC00517XX14', 'ses-159200']"
108,"['sub-CC00482XX13', 'ses-142000']","['sub-CC00843XX19', 'ses-4330']"
109,"['sub-CC00744XX19', 'ses-221001']","['sub-CC00822XX14', 'ses-15710']"
110,"['sub-CC00233XX11', 'ses-77800']","['sub-CC00798XX24', 'ses-245400']"
111,"['sub-CC00589XX21', 'ses-184000']","['sub-CC00792XX18', 'ses-244200']"
112,"['sub-CC00617XX15', 'ses-176500']","['sub-CC00771XX13', 'ses-17710']"
113,"['sub-CC00498XX21', 'ses-144900']","['sub-CC00853XX12', 'ses-7330']"
114,"['sub-CC00418AN14', 'ses-130200']","['sub-CC00823XX15', 'ses-15810']"
115,"['sub-CC00354XX08', 'ses-112100']","['sub-CC00845AN21', 'ses-26510']"
116,"['sub-CC00720XX11', 'ses-211101']","['sub-CC00845AN21', 'ses-32010']"
117,"['sub-CC00185XX13', 'ses-60800']","['sub-CC00829XX21', 'ses-17610']"
118,"['sub-CC00871XX14', 'ses-38810']","['sub-CC00801XX09', 'ses-29510']"
119,"['sub-CC00150AN02', 'ses-54800']","['sub-CC00850XX09', 'ses-4930']"
120,"['sub-CC00284AN13', 'ses-111400']","['sub-CC00702AN09', 'ses-204600']"
121,"['sub-CC00731XX14', 'ses-214500']","['sub-CC00629XX19', 'ses-198100']"
122,"['sub-CC00649XX23', 'ses-191201']","['sub-CC00686XX19', 'ses-209100']"
123,"['sub-CC00580XX12', 'ses-173700']","['sub-CC00618XX16', 'ses-177201']"
124,"['sub-CC00411XX07', 'ses-126200']","['sub-CC00618XX16', 'ses-193600']"
125,"['sub-CC00569XX17', 'ses-158300']","['sub-CC00670XX11', 'ses-197200']"
126,"['sub-CC00529AN18', 'ses-170000']","['sub-CC00549XX22', 'ses-157600']"
127,"['sub-CC00799XX25', 'ses-23810']","['sub-CC00550XX06', 'ses-157800']"
128,"['sub-CC00572BN12', 'ses-161400']","['sub-CC00544XX17', 'ses-169300']"
129,"['sub-CC00407BN11', 'ses-137200']","['sub-CC00810XX10', 'ses-29010']"
130,"['sub-CC00417XX13', 'ses-129000']","['sub-CC00768XX18', 'ses-236400']"
131,"['sub-CC00517XX14', 'ses-145000']","['sub-CC00845BN21', 'ses-32110']"
132,"['sub-CC00804XX12', 'ses-900']","['sub-CC00552XX08', 'ses-159300']"
133,,"['sub-CC00594XX18', 'ses-189800']"
